ticker,cusip,as_of_date,human_rating,forward_return_5d,forward_return_10d,forward_return_21d,forward_return_63d,cname,analyst,year,ai_rating,ai_confidence,ai_base_score,ai_confidence_value,ai_signal
VISA,92826C83,2013-06-19,OVERWT/IN-LINE,-0.023873405245578412,0.014181678804139536,0.022285495263647776,-0.02321633904615895,VISA INC,SRETHAPRAMOTE S,2013,Sell,High,-2.0,1.0,-2.0
SHW,82434810,2010-01-08,BUY,-0.0046311610982467935,-0.018028448561032084,0.047800198478332855,0.08402249421104872,SHERWIN-WMS,ROBERTS       J,2010,Buy,Medium,1.0,0.6,0.6
BA,09702310,2014-07-24,NEUTRAL,-0.01672025723472679,-0.035932475884244364,-0.002331189710610983,0.02202572347266877,BOEING CO,EPSTEIN       R,2014,Sell,Medium,-2.0,0.6,-1.2
AXP,02581610,2018-11-29,NEUTRAL,-0.03297098194232326,-0.049591231695265435,-0.13961009792471482,-0.07735154074207168,AMERICAN EXPRESS,BRENDLER      C,2018,Buy,Medium,1.0,0.6,0.6
MMM,88579Y10,2010-06-23,UNDERPERFORM,-0.014228657014478277,-0.02471293060409385,0.03657014478282564,0.007863205192211575,3M CO,O'CALLAGHAN   S,2010,Hold,Medium,0.0,0.6,0.0
KO,19121610,2012-08-12,NEUTRAL/NEUTRAL,0.0034268308160933622,-0.01586495748191395,-0.053687016118796844,-0.03211067394339384,COCA-COLA CO,HONG          J,2012,UnderPerform,Medium,-1.0,0.6,-0.6
BEL,92343V10,2017-01-11,NEUTRAL,0.005337399923751451,-0.000953107129241408,-0.077582920320244,-0.044224170796797566,VERIZON,PIECYK        W,2017,Sell,Medium,-2.0,0.6,-1.2
AAPL,03783310,2013-04-24,BUY,0.06081455078861769,0.13625932550376293,0.05768234612165019,-0.018231054495093095,APPLE INC,TURNER        S,2013,Buy,Medium,1.0,0.6,0.6
VISA,92826C83,2016-12-05,BUY,0.015392575346009543,0.028327512611563802,0.01345233475617633,0.11020566550252225,VISA,WASSERSTROM   E,2016,UnderPerform,Medium,-1.0,0.6,-0.6
AMZN,02313510,2013-01-06,OVERWT/ATTRACTIVE,0.0339186198695203,0.03773876279138558,0.06517468898995514,0.046652519647019705,AMAZON.COM INC.,DEVITT        S,2013,UnderPerform,High,-1.0,1.0,-1.0
AAPL,03783310,2016-11-15,BUY,0.04313322752310713,0.04369339930912153,0.026514797871347244,0.1203435720287555,APPLE,KVAAL         J,2016,Buy,Medium,1.0,0.6,0.6
IBM,45920010,2010-01-20,BUY,-0.031708253358925124,-0.042840690978886764,-0.05712092130518235,-0.013205374280230326,INTL BUS MACH,MISEK         P,2010,Buy,Medium,1.0,0.6,0.6
AMGN,03116210,2015-01-05,EQUALWT/IN-LINE,-0.011203303297468069,-0.03842021403758392,0.011013291283417081,-0.018862078684595465,AMGEN,HARRISON      M,2015,Buy,Medium,1.0,0.6,0.6
NIKE,65410610,2017-06-16,NEUTRAL,0.029158512720156595,0.04266144814090019,0.134637964774951,0.07534246575342468,NIKE,BOSS          M,2017,UnderPerform,Medium,-1.0,0.6,-0.6
CRMN,79466L30,2018-10-29,BUY,0.03397198000061215,0.08305969287276176,-0.07618909258805313,0.0456522600463958,SALESFORCE.COM,EBERLE        C,2018,Sell,Medium,-2.0,0.6,-1.2
SHW,82434810,2013-09-18,BUY,-0.0029663262451287862,0.0007690617869184782,-0.03696984382387617,0.014282630975754272,SHERWIN-WMS,SILVERSTEYN   D,2013,UnderPerform,Medium,-1.0,0.6,-0.6
AMZN,02313510,2011-02-07,1 OUTPERFORM,0.07929496566881845,0.06421810713700087,-0.017797427750236797,0.04313325642652926,AMAZON.COM INC.,NEMER         M,2011,UnderPerform,Medium,-1.0,0.6,-0.6
AXP,02581610,2016-08-23,2,-0.002436053593179214,-0.007460414129110978,-0.020097442143727273,0.01613885505481102,AMERICAN EXPRESS,YANO          T,2016,Hold,Medium,0.0,0.6,0.0
NIKE,65410610,2014-01-17,NEUTRAL,0.001498841804060491,-0.020302493527728505,-0.009538084207657758,0.024799018939909975,NIKE INC,VASILESCU     L,2014,Sell,Medium,-2.0,0.6,-1.2
KO,19121610,2016-09-15,NEUTRAL,-0.0004721435316335227,-0.007318224740321112,-0.015344664778092506,-0.029272898961284276,COCA- COLA,GRANDET       L,2016,UnderPerform,Medium,-1.0,0.6,-0.6
CAT,14912310,2011-01-27,OVERVALUED,0.014281279105867843,0.03973921142502332,0.06964710752354346,0.1523336437959226,CATERPILLAR INC,FLECK         A,2011,Buy,Medium,1.0,0.6,0.6
JNJ,47816010,2010-11-10,NEUTRAL,0.0029710711493353826,-0.005160281469898442,-0.02392494136043786,-0.02267396403440192,JOHNSON & JOHNSN,GOLDMAN       R,2010,UnderPerform,Medium,-1.0,0.6,-0.6
IBM,45920010,2012-10-17,NEUTRAL,-0.031052235458306193,-0.03040422668593924,-0.04720131585505656,-0.027662861984747857,INTL BUS MACH,FORESI        J,2012,Sell,Medium,-2.0,0.6,-1.2
VISA,92826C83,2014-01-27,BUY,-0.01271852742577005,0.012903477939136014,0.04550920358893721,-0.001664970863009829,VISA INC,DONAT         C,2014,Sell,Medium,-2.0,0.6,-1.2
CRMN,79466L30,2010-11-19,OUTPERFORM,0.061649768783840035,0.05170388681410795,0.08680699964845695,-0.03290916828220211,SALESFORCE.COM I,MAGUIRE       E,2010,StrongBuy,Medium,2.0,0.6,1.2
NVDA,67066G10,2017-03-31,NEUTRAL,-0.0817038465069311,-0.10245111539520806,-0.06655650417699437,0.31864500137703095,NVIDIA,PAJJURI       S,2017,StrongBuy,High,2.0,1.0,2.0
BEL,92343V10,2012-01-04,NEUTRAL,-0.021423106350420898,-0.004845702626880839,-0.03876562101504726,-0.008671257332313272,VERIZON COMM,YIN           S,2012,UnderPerform,High,-1.0,1.0,-1.0
GSG,38141G10,2018-11-30,NEUTRAL,-0.03461114898526401,-0.062195185903822885,-0.16067963710734692,0.030678011432167345,GOLDMAN SACHS,CARRIER       M,2018,Sell,High,-2.0,1.0,-2.0
IBM,45920010,2017-05-18,SECTOR WEIGHT,0.008290224167661581,0.006300570367422581,0.008754543042843916,-0.0206923995224832,IBM,RAMNANI       A,2017,Sell,High,-2.0,1.0,-2.0
AMGN,03116210,2016-12-12,OUTPERFORM,0.013584111799129684,0.004116424541467285,0.0340972169386126,0.15024706025295426,AMGEN,RUSH CANN     L,2016,StrongBuy,Medium,2.0,0.6,1.2
GSG,38141G10,2012-01-09,2 MARKET PERFORM,0.03157672404688995,0.13718449677896302,0.158834090189038,0.23550533319252295,GOLDMAN SACHS,BURNELL       M,2012,Sell,High,-2.0,1.0,-2.0
MCD,58013510,2010-07-29,NEUTRAL,0.015422311905448363,0.05102334966849245,0.051744018449120834,0.07394061689247636,MCDONALDS CP,TAYLOR        S,2010,Hold,Medium,0.0,0.6,0.0
CSCO,17275R10,2013-01-03,OUTPERFORM,-0.0068459657701711776,0.025427872860635678,0.027872860635696835,0.06611246943765282,CISCO SYS INC,SUE           M,2013,Buy,Medium,1.0,0.6,0.6
IBM,45920010,2016-09-26,HOLD,0.023574490193531833,0.01883361475516305,0.005130536433303123,0.06845044811014425,INTL BUS MACH,NGUYEN        R,2016,UnderPerform,High,-1.0,1.0,-1.0
NIKE,65410610,2013-10-29,OVERWT/IN-LINE,0.006059807666974153,0.015939928863127492,0.025029640363588537,0.03596364115399821,NIKE INC,SOLE          J,2013,Buy,Medium,1.0,0.6,0.6
MRK,58933Y10,2015-11-30,OVERWEIGHT,0.01263912469345421,0.01282776834559516,-0.021505376344085943,-0.042633465383889714,"MERCK & CO., INC",MEACHAM       G,2015,StrongBuy,Medium,2.0,0.6,1.2
STPL,89417E10,2012-10-18,FAIRLY VALUED,-0.0075737084122261605,-0.04057343792263998,-0.06681092777928047,-0.0016229375169056607,TRAVELERS COS IN,WOODBURY      D,2012,UnderPerform,Medium,-1.0,0.6,-0.6
SHW,82434810,2011-09-29,HOLD,-0.005635648754914713,0.04547837483617299,0.04220183486238521,0.12712975098296203,SHERWIN-WMS,MARCUSE       I,2011,UnderPerform,High,-1.0,1.0,-1.0
CAT,14912310,2013-01-02,BUY,0.01828877005347587,0.012085561497326154,0.03582887700534753,-0.04128342245989304,CATERPILLAR INC,RASO          D,2013,UnderPerform,High,-1.0,1.0,-1.0
MRK,58933Y10,2016-04-06,BUY,-0.010426029120977903,0.015818802804242253,0.012223620348732686,0.0357720654323206,"MERCK & CO., INC",SMITH         J,2016,StrongBuy,Medium,2.0,0.6,1.2
CHL,46625H10,2011-01-17,OUTPERFORM,0.002449343130706002,0.004230683589401132,0.013137385882876941,0.016032064128256647,JPMORGAN CHASE,WHEELER       C,2011,Sell,High,-2.0,1.0,-2.0
AXP,02581610,2015-01-07,BUY/ATTRACTIVE,-0.008859357696566967,-0.03366555924695451,-0.09490586932447391,-0.12015503875968986,AMERN EXPRESS,"NASH, CFA     R",2015,Hold,Medium,0.0,0.6,0.0
PG,74271810,2012-07-18,OVERWEIGHT/POSITIVE,-0.006633755013884491,0.004319654427645806,0.029311940759025084,0.06849737735266911,PROCT & GAMBL,LIEBERMAN     L,2012,UnderPerform,Medium,-1.0,0.6,-0.6
CSCO,17275R10,2018-12-11,OUTPERFORM,-0.06137184115523466,-0.11127627946485456,-0.08791675514971332,0.016988744956466278,CISCO SYSTEMS,MILUNOVICH    S,2018,Buy,Medium,1.0,0.6,0.6
AMGN,03116210,2013-08-02,4-STARS (BUY),0.030625343847423468,-0.007793874931230594,-0.03172565560242076,0.035301668806161694,AMGEN,SILVER        S,2013,UnderPerform,Medium,-1.0,0.6,-0.6
MSFT,59491810,2016-01-07,OUTPERFORM,0.011692543607437213,-0.030860647881924465,-0.0022043319915660722,-0.0023001725129385576,MICROSOFT,BACHMAN       K,2016,UnderPerform,Medium,-1.0,0.6,-0.6
BEL,92343V10,2014-01-22,SECTOR PERFORM,0.007606169448552703,-0.019437988590745865,0.0008451299387280614,-0.006761039509824642,VERIZON COMM,BOWEN         M,2014,Buy,Medium,1.0,0.6,0.6
AXP,02581610,2014-01-17,BUY,0.001758821589534974,-0.05771133340661757,-0.04364076069033746,0.006045949214026571,AMERN EXPRESS,HOCHSTIM      D,2014,UnderPerform,Medium,-1.0,0.6,-0.6
MCD,58013510,2012-01-24,FAIRLY VALUED,-0.0006075949367088838,0.012759493670886128,0.008101265822784781,-0.014278481012658193,MCDONALDS CP,HOTTOVY       R,2012,Buy,Medium,1.0,0.6,0.6
ALD,43851610,2016-03-01,OVERWEIGHT,0.015112874279777025,0.029847926702559736,0.06715783508075951,0.08160952111079639,HONEYWELL INTL,TUSA          C,2016,Hold,Medium,0.0,0.6,0.0
MSFT,59491810,2013-04-12,OUTPERFORM,0.0012156998957971567,0.07085793678360539,0.16325112886418905,0.19485932615491489,MICROSOFT,MAGUIRE       E,2013,Buy,Medium,1.0,0.6,0.6
MMM,88579Y10,2017-01-26,SELL,-0.01131093703704688,-0.009727405851860316,0.03726948098238428,0.08177801822316388,3M,KEE           T,2017,Buy,Medium,1.0,0.6,0.6
KO,19121610,2018-09-13,BUY,0.002181976871045198,0.005236744490508444,0.0004363953742091016,0.08531529565786611,COCA-COLA,GRANDET       L,2018,Buy,Medium,1.0,0.6,0.6
MRK,58933Y10,2018-01-16,BUY,-0.013210890929595528,-0.0004833252779119919,-0.10649266956661826,-0.11970356049621392,"MERCK & CO., INC",BORIS         J,2018,Buy,High,1.0,1.0,1.0
AAPL,03783310,2017-01-03,BUY,0.024451140766250445,0.024881618596642275,0.03288850624192848,0.2012053379250969,APPLE,CIHRA         R,2017,UnderPerform,Medium,-1.0,0.6,-0.6
GSG,38141G10,2016-01-04,SECTOR PERFORM,-0.06441232923111662,-0.08891272439878063,-0.14688946595912827,-0.12300999209664666,GOLDMAN SACHS,GULBERG       P,2016,Sell,High,-2.0,1.0,-2.0
BA,09702310,2015-02-23,SELL/NEUTRAL,-0.006074770190334102,-0.0017449268615144422,-0.006914889045179878,-0.044849486567824316,BOEING CO,"POPONAK, CFA  N",2015,Buy,Medium,1.0,0.6,0.6
CHV,16676410,2012-08-09,SELL,0.006126254106365957,-0.000976649205362687,-0.015093669537423322,0.00381781053005422,CHEVRON,KETTENMANN    C,2012,Buy,Medium,1.0,0.6,0.6
AMGN,03116210,2010-02-18,HOLD,-0.015540422559804444,-0.00646062510913226,0.0038414527675920875,0.015540422559804321,AMGEN,FUNTLEYDER    L,2010,Hold,High,0.0,1.0,0.0
JNJ,47816010,2012-09-11,NEUTRAL,0.0007331378299119817,0.012609970674486794,0.011143695014662622,0.019208211143695048,JOHNSON & JOHNSN,ARNOLD        C,2012,Sell,Medium,-2.0,0.6,-1.2
UNIH,91324P10,2014-01-27,SELL,-0.01270062805303574,-0.010886252616887663,0.03042568039078845,0.14431263084438226,UNITEDHEALTH GRP,WRIGHT        B,2014,Buy,Medium,1.0,0.6,0.6
